PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,Family Size,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
1,0,1,-0.5303766406838785,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,0.059159876663617626,0,0,1,0,0,1
2,1,0,0.571830994003175,0.4327933656785018,-0.4736736092984604,0.7868452935884461,0.059159876663617626,1,0,0,1,0,0
3,1,0,-0.25482473201211503,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,-0.5609748304808925,0,0,1,0,0,1
4,1,0,0.36516706249935255,0.4327933656785018,-0.4736736092984604,0.4207302360686478,0.059159876663617626,1,0,0,0,0,1
5,0,1,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
7,0,1,1.6740386286902287,-0.47454519624983954,-0.4736736092984604,0.395813560675251,-0.5609748304808925,1,0,0,0,0,1
8,0,1,-1.9081361840426954,2.2474704895351842,0.7676298785983874,-0.22408312108167944,1.9195639980971482,0,0,1,0,0,1
9,1,0,-0.1859367548441742,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,0.6792945838081278,0,0,1,0,0,1
10,1,0,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0.059159876663617626,0,1,0,1,0,0
11,1,0,-1.7703602297068137,0.4327933656785018,0.7676298785983874,-0.312172377522981,0.6792945838081278,0,0,1,0,0,1
12,1,0,1.949590537361992,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,-0.5609748304808925,1,0,0,0,0,1
13,0,1,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
14,0,1,0.6407189711711159,0.4327933656785018,5.73284383018578,-0.01870931177853076,3.1598334123861687,0,0,1,0,0,1
15,0,0,-1.0814804580274051,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,-0.5609748304808925,0,0,1,0,0,1
16,1,0,1.7429266058581694,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,-0.5609748304808925,0,1,0,0,0,1
17,0,1,-1.9081361840426954,3.1548090514635256,0.7676298785983874,-0.06199888922968463,2.5396987052416584,0,0,1,0,1,0
19,0,0,0.08961515382758917,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,0.059159876663617626,0,0,1,0,0,1
21,0,1,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,-0.5609748304808925,0,1,0,0,0,1
22,1,1,0.2962790853314117,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,0,1,0,0,0,1
23,1,0,-1.0125924808594644,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,-0.5609748304808925,0,0,1,0,1,0
24,1,1,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,-0.5609748304808925,1,0,0,0,0,1
25,0,0,-1.4948083210350502,2.2474704895351842,0.7676298785983874,-0.22408312108167944,1.9195639980971482,0,0,1,0,0,1
26,1,0,0.571830994003175,0.4327933656785018,5.73284383018578,-0.016444159470040135,3.1598334123861687,0,0,1,0,0,1
28,0,1,-0.7370405721877009,2.2474704895351842,2.0089333664952354,4.647001076532463,2.5396987052416584,1,0,0,0,0,1
31,0,1,0.7096069483390568,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,-0.5609748304808925,1,0,0,1,0,0
34,0,1,2.500694354705519,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,0,1,0,0,0,1
35,0,1,-0.11704877767623337,0.4327933656785018,-0.4736736092984604,1.0060617003323709,0.059159876663617626,1,0,0,1,0,0
36,0,1,0.8473829026749384,0.4327933656785018,-0.4736736092984604,0.39858208016340624,0.059159876663617626,1,0,0,0,0,1
38,0,1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
39,0,0,-0.8059285493556418,1.340131927606843,-0.4736736092984604,-0.2859972841804228,0.6792945838081278,0,0,1,0,0,1
40,1,0,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,0.059159876663617626,0,0,1,1,0,0
41,0,0,0.7096069483390568,0.4327933656785018,-0.4736736092984604,-0.4576454924460446,0.059159876663617626,0,0,1,0,0,1
42,0,0,-0.1859367548441742,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,0.059159876663617626,0,1,0,0,0,1
44,1,0,-1.8392482068747544,0.4327933656785018,2.0089333664952354,0.18876253192945994,1.299429290952638,0,1,0,1,0,0
45,1,0,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,-0.5609748304808925,0,0,1,0,1,0
50,0,0,-0.8059285493556418,0.4327933656785018,-0.4736736092984604,-0.29002422161773944,0.059159876663617626,0,0,1,0,0,1
51,0,1,-1.5636962982029912,3.1548090514635256,0.7676298785983874,0.1506737441786005,2.5396987052416584,0,0,1,0,0,1
52,0,1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4913710934835715,-0.5609748304808925,0,0,1,0,0,1
53,1,0,1.3295987428505243,0.4327933656785018,-0.4736736092984604,0.8964967865378598,0.059159876663617626,1,0,0,1,0,0
54,1,0,-0.04816080050829252,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,0.059159876663617626,0,1,0,0,0,1
55,0,1,2.431806377537578,-0.47454519624983954,0.7676298785983874,0.5995101505357573,0.059159876663617626,1,0,0,1,0,0
57,1,0,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,0,1,0,0,0,1
58,0,1,-0.08260478909226295,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,-0.5609748304808925,0,0,1,1,0,0
59,1,0,-1.7014722525388728,0.4327933656785018,2.0089333664952354,-0.08968408411123653,1.299429290952638,0,1,0,0,0,1
60,0,1,-1.2881443895312277,4.0621476133918675,2.0089333664952354,0.2958951755118318,3.779968119530679,0,0,1,0,0,1
61,0,1,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,-0.5609748304808925,0,0,1,1,0,0
63,0,1,1.054046834178761,0.4327933656785018,-0.4736736092984604,1.0323213593611125,0.059159876663617626,1,0,0,0,0,1
64,0,1,-1.7703602297068137,2.2474704895351842,2.0089333664952354,-0.08666388103324908,2.5396987052416584,0,0,1,0,0,1
67,1,0,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,0,1,0,0,0,1
68,0,1,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.4841568350646187,-0.5609748304808925,0,0,1,0,0,1
69,1,0,-0.8748165265235827,3.1548090514635256,2.0089333664952354,-0.4888542575852486,3.1598334123861687,0,0,1,0,0,1
70,0,1,-0.25482473201211503,1.340131927606843,-0.4736736092984604,-0.47400492578514347,0.6792945838081278,0,0,1,0,0,1
71,0,1,0.15850313099553,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,0,1,0,0,0,1
72,0,0,-0.9437045036915235,4.0621476133918675,2.0089333664952354,0.2958951755118318,3.779968119530679,0,0,1,0,0,1
73,0,1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,0.8314778546749452,-0.5609748304808925,0,1,0,0,0,1
74,0,1,-0.25482473201211503,0.4327933656785018,-0.4736736092984604,-0.3573908580066095,0.059159876663617626,0,0,1,1,0,0
75,1,1,0.15850313099553,-0.47454519624983954,-0.4736736092984604,0.48910360681684706,-0.5609748304808925,0,0,1,0,0,1
76,0,1,-0.3237127091800559,-0.47454519624983954,-0.4736736092984604,-0.494391296561559,-0.5609748304808925,0,0,1,0,0,1
79,1,1,-1.9887351173291863,-0.47454519624983954,2.0089333664952354,-0.06451572512800753,0.6792945838081278,0,1,0,0,0,1
80,1,0,0.020727176659648322,-0.47454519624983954,-0.4736736092984604,-0.397241430886295,-0.5609748304808925,0,0,1,0,0,1
81,0,1,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.46720946885967163,-0.5609748304808925,0,0,1,0,0,1
82,1,1,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,-0.45714212526638004,-0.5609748304808925,0,0,1,0,0,1
84,0,1,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,0.29992211294914856,-0.5609748304808925,1,0,0,0,0,1
85,1,0,-0.8748165265235827,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,0,1,0,0,0,1
86,1,0,0.22739110816347086,2.2474704895351842,-0.4736736092984604,-0.32928686163157667,1.299429290952638,0,0,1,0,0,1
87,0,1,-0.9437045036915235,0.4327933656785018,3.250236854392083,0.04370821849987721,1.9195639980971482,0,0,1,0,0,1
89,1,0,-0.4614886635159376,2.2474704895351842,2.0089333664952354,4.647001076532463,2.5396987052416584,1,0,0,0,0,1
90,0,1,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
91,0,1,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
92,0,1,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,-0.5609748304808925,0,0,1,0,0,1
