PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family Size
1,0,3,1,-0.5303766406838785,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,S,0.059159876663617626
2,1,1,0,0.571830994003175,0.4327933656785018,-0.4736736092984604,0.7868452935884461,C,0.059159876663617626
3,1,3,0,-0.25482473201211503,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,S,-0.5609748304808925
4,1,1,0,0.36516706249935255,0.4327933656785018,-0.4736736092984604,0.4207302360686478,S,0.059159876663617626
5,0,3,1,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,S,-0.5609748304808925
7,0,1,1,1.6740386286902287,-0.47454519624983954,-0.4736736092984604,0.395813560675251,S,-0.5609748304808925
8,0,3,1,-1.9081361840426954,2.2474704895351842,0.7676298785983874,-0.22408312108167944,S,1.9195639980971482
9,1,3,0,-0.1859367548441742,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,S,0.6792945838081278
10,1,2,0,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,C,0.059159876663617626
11,1,3,0,-1.7703602297068137,0.4327933656785018,0.7676298785983874,-0.312172377522981,S,0.6792945838081278
12,1,1,0,1.949590537361992,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,S,-0.5609748304808925
13,0,3,1,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,S,-0.5609748304808925
14,0,3,1,0.6407189711711159,0.4327933656785018,5.73284383018578,-0.01870931177853076,S,3.1598334123861687
15,0,3,0,-1.0814804580274051,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,S,-0.5609748304808925
16,1,2,0,1.7429266058581694,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,S,-0.5609748304808925
17,0,3,1,-1.9081361840426954,3.1548090514635256,0.7676298785983874,-0.06199888922968463,Q,2.5396987052416584
19,0,3,0,0.08961515382758917,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,S,0.059159876663617626
21,0,2,1,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,S,-0.5609748304808925
22,1,2,1,0.2962790853314117,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,S,-0.5609748304808925
23,1,3,0,-1.0125924808594644,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,Q,-0.5609748304808925
24,1,1,1,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,S,-0.5609748304808925
25,0,3,0,-1.4948083210350502,2.2474704895351842,0.7676298785983874,-0.22408312108167944,S,1.9195639980971482
26,1,3,0,0.571830994003175,0.4327933656785018,5.73284383018578,-0.016444159470040135,S,3.1598334123861687
28,0,1,1,-0.7370405721877009,2.2474704895351842,2.0089333664952354,4.647001076532463,S,2.5396987052416584
31,0,1,1,0.7096069483390568,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,C,-0.5609748304808925
34,0,2,1,2.500694354705519,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,S,-0.5609748304808925
35,0,1,1,-0.11704877767623337,0.4327933656785018,-0.4736736092984604,1.0060617003323709,C,0.059159876663617626
36,0,1,1,0.8473829026749384,0.4327933656785018,-0.4736736092984604,0.39858208016340624,S,0.059159876663617626
38,0,3,1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,S,-0.5609748304808925
39,0,3,0,-0.8059285493556418,1.340131927606843,-0.4736736092984604,-0.2859972841804228,S,0.6792945838081278
40,1,3,0,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,C,0.059159876663617626
41,0,3,0,0.7096069483390568,0.4327933656785018,-0.4736736092984604,-0.4576454924460446,S,0.059159876663617626
42,0,2,0,-0.1859367548441742,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,S,0.059159876663617626
44,1,2,0,-1.8392482068747544,0.4327933656785018,2.0089333664952354,0.18876253192945994,C,1.299429290952638
45,1,3,0,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,Q,-0.5609748304808925
50,0,3,0,-0.8059285493556418,0.4327933656785018,-0.4736736092984604,-0.29002422161773944,S,0.059159876663617626
51,0,3,1,-1.5636962982029912,3.1548090514635256,0.7676298785983874,0.1506737441786005,S,2.5396987052416584
52,0,3,1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4913710934835715,S,-0.5609748304808925
53,1,1,0,1.3295987428505243,0.4327933656785018,-0.4736736092984604,0.8964967865378598,C,0.059159876663617626
54,1,2,0,-0.04816080050829252,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,S,0.059159876663617626
55,0,1,1,2.431806377537578,-0.47454519624983954,0.7676298785983874,0.5995101505357573,C,0.059159876663617626
57,1,2,0,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,S,-0.5609748304808925
58,0,3,1,-0.08260478909226295,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,C,-0.5609748304808925
59,1,2,0,-1.7014722525388728,0.4327933656785018,2.0089333664952354,-0.08968408411123653,S,1.299429290952638
60,0,3,1,-1.2881443895312277,4.0621476133918675,2.0089333664952354,0.2958951755118318,S,3.779968119530679
61,0,3,1,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,C,-0.5609748304808925
63,0,1,1,1.054046834178761,0.4327933656785018,-0.4736736092984604,1.0323213593611125,S,0.059159876663617626
64,0,3,1,-1.7703602297068137,2.2474704895351842,2.0089333664952354,-0.08666388103324908,S,2.5396987052416584
67,1,2,0,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,S,-0.5609748304808925
68,0,3,1,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.4841568350646187,S,-0.5609748304808925
69,1,3,0,-0.8748165265235827,3.1548090514635256,2.0089333664952354,-0.4888542575852486,S,3.1598334123861687
70,0,3,1,-0.25482473201211503,1.340131927606843,-0.4736736092984604,-0.47400492578514347,S,0.6792945838081278
71,0,2,1,0.15850313099553,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,S,-0.5609748304808925
72,0,3,0,-0.9437045036915235,4.0621476133918675,2.0089333664952354,0.2958951755118318,S,3.779968119530679
73,0,2,1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,0.8314778546749452,S,-0.5609748304808925
74,0,3,1,-0.25482473201211503,0.4327933656785018,-0.4736736092984604,-0.3573908580066095,C,0.059159876663617626
75,1,3,1,0.15850313099553,-0.47454519624983954,-0.4736736092984604,0.48910360681684706,S,-0.5609748304808925
76,0,3,1,-0.3237127091800559,-0.47454519624983954,-0.4736736092984604,-0.494391296561559,S,-0.5609748304808925
